pref_name,lat,lon
北海道,43.46722222,142.8277778
青森県,40.78027778,140.8319444
岩手県,39.59138889,141.3625
宮城県,38.44555556,140.9280556
秋田県,39.7475,140.4086111
山形県,38.44638889,140.1027778
福島県,37.37888889,140.2252778
茨城県,36.30638889,140.3186111
栃木県,36.68916667,139.8191667
群馬県,36.50388889,138.9852778
埼玉県,35.99666667,139.3477778
千葉県,35.51277778,140.2038889
東京都,35.01833333,139.5986111
神奈川県,35.41416667,139.3402778
新潟県,37.51888889,138.9172222
富山県,36.63611111,137.2680556
石川県,36.76583333,136.7713889
福井県,35.84666667,136.2272222
山梨県,35.61222222,138.6116667
長野県,36.13,138.0438889
岐阜県,35.7775,137.055
静岡県,35.01694444,138.33
愛知県,35.03444444,137.215
三重県,34.51361111,136.3813889
滋賀県,35.21527778,136.1380556
京都府,35.25194444,135.4458333
大阪府,34.62277778,135.5111111
兵庫県,35.03694444,134.8286111
奈良県,34.31555556,135.8713889
和歌山県,33.90944444,135.5133333
鳥取県,35.36055556,133.8516667
島根県,35.07305556,132.5594444
岡山県,34.90083333,133.8152778
広島県,34.60361111,132.7875
山口県,34.19861111,131.575
徳島県,33.91805556,134.2430556
香川県,34.24305556,133.9966667
愛媛県,33.62194444,132.8558333
高知県,33.42111111,133.3666667
福岡県,33.5225,130.6680556
佐賀県,33.28527778,130.1169444
長崎県,33.2275,129.6141667
熊本県,32.615,130.7563889
大分県,33.19916667,131.4341667
宮崎県,32.19083333,131.3005556
鹿児島県,31.01277778,130.4241667
沖縄県,25.77111111,126.64
